# ode number ^ line ^ text
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# Èxodus 15 : 1 - 19
1^x^Ċantémus Dòmino, glorióse ènim magnificátus est; èquum et asċensórem deįéċit in mare. Adįútor et protêctor factus est mìhi in salútem. Iste Deus meus, et glorificábo eum; Deus patris mei, et exaltábo eum. Dòminus cònterens bella; Dòminus nomen eįus. Currus Pharaónis et exèrċitum eįus proįéċit in mare; elêctos asċensórēs ternos stantēs demèrsit in Rubro Mari. Pèlago coopèruit eos; desċendérunt in profùndum quasi làpis. Dèxtera tua, Dòmine, glorificáta est in virtúte; dèxtera tua, Dòmine, confréġit inimícos. Et per multitúdinem glóriae tuae contribulavìsti adversários; misìsti iram tuam, et comédit illos sicut stìpulam. Et per spíritum irae tuae divísa est aqua. Ġelavérunt sicut moerus aquae; ġelavérunt flûctūs in mèdio mari. Dîxit inimícus, «Pèrsequens comprehèndem; partíbor spólia; replébo ànimam meam; interfìċiem glàdio meo; dominábitur mànus mea.» Misìsti spíritum tuum, et coopèruit eos mare; desċendérunt quasi plumbum in aquam validìssimus. ¿Quis sìmilis tìbi in deīs, Dòmine? ¿Quis sìmilis tìbi, gloriósus in sânctīs, mirábilis in maįestátibus, et fàċiens prodìġia?
1^10^Extendìsti dèxteram tuam, et devorávit eos terra.
1^9^Guvernavìsti in įustìzia tua pòpulum tuum hunc quem redemìsti; exhortátus es in virtúte tua in rèquie sâncta tua.
1^8^Audiérunt ġentēs et irátae sunt; dolórēs compredendérunt habitàntēs Philìstiam.
1^7^Tunc festinavérunt duċēs Edómis, et prînċipēs Moabitárum, apprehèndit illos trèmor; fluxérunt omnēs habitàntēs Chanaánis.
1^6^Ìnruat super eos tìmor et trèmor; magnitúdine bràcċii tui fiant quasi làpis, donec pertrànseat pòpulus tuus, Dòmine, donec pertrànseat pòpulus tuus, ìste quem acquisìsti.
1^5^Indúċēs plantáto eos in monte haereditátis tuae, in parátam habitaziónem tuam quam operátus es, Dòmine; sanctificaziónem, Dòmine, quam paravérunt mànūs tuae.
1^4^Dòminus, qui rêgnas in aetèrnum, et in sáeculum, et adhūc.
1^3^Quia introívit equitátus Pharaónis cum cùrribus et asċensóribus in mare, et addúxit super eos Dòminus aquas maris; fílii autem Israélis transivérunt per siccum in mèdio mari.
1^2^Glória Patri, et Fílio, et Spirìtui Sâncto,
1^1^et nunc et semper, et in sáecula saeculórum. Amen.
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# Deuteronómium 32 : 1 - 43
